"projectID";"topic";"title"
"648932";"ERC-CoG-2014";"ERC Consolidator Grant"
"647995";"ERC-CoG-2014";"ERC Consolidator Grant"
"816784";"ERC-2018-COG";"ERC Consolidator Grant"
"648489";"ERC-CoG-2014";"ERC Consolidator Grant"
"737596";"ERC-PoC-2016";"ERC-Proof of Concept-2016"
"949595";"ERC-2020-STG";"ERC STARTING GRANTS"
"715147";"ERC-2016-STG";"ERC Starting Grant"
"834441";"ERC-2018-ADG";"ERC Advanced Grant"
"951281";"ERC-2020-SyG";"ERC Synergy Grant"
"692739";"ERC-ADG-2015";"ERC Advanced Grant"
"695405";"ERC-ADG-2015";"ERC Advanced Grant"
"758887";"ERC-2017-STG";"ERC Starting Grant"
"670629";"ERC-ADG-2014";"ERC Advanced Grant"
"715530";"ERC-2016-STG";"ERC Starting Grant"
"957533";"ERC-2020-POC";"Call for proposals for ERC Proof of Concept Grant"
"803051";"ERC-2018-STG";"ERC Starting Grant"
"853051";"ERC-2019-STG";"ERC Starting Grant"
"818450";"ERC-2018-COG";"ERC Consolidator Grant"
"862545";"ERC-2019-POC";"ERC Proof of Concept Grant"
"714691";"ERC-2016-STG";"ERC Starting Grant"
"825159";"ERC-2018-PoC";"ERC Proof of Concept Grant"
"803506";"ERC-2018-STG";"ERC Starting Grant"
"817540";"ERC-2018-COG";"ERC Consolidator Grant"
"670166";"ERC-ADG-2014";"ERC Advanced Grant"
"640749";"ERC-PoC-2014";"ERC Proof of Concept Grant"
"755284";"ERC-PoC-2016";"ERC-Proof of Concept-2016"
"802567";"ERC-2018-STG";"ERC Starting Grant"
"865474";"ERC-2019-COG";"ERC Consolidator Grant"
"818943";"ERC-2018-COG";"ERC Consolidator Grant"
"803932";"ERC-2018-STG";"ERC Starting Grant"
"101000060";"ERC-2020-COG";"ERC CONSOLIDATOR GRANTS"
"101020872";"ERC-2020-ADG";"ERC ADVANCED GRANT"
"648861";"ERC-CoG-2014";"ERC Consolidator Grant"
"884900";"ERC-2019-ADG";"ERC Advanced Grant"
"835692";"ERC-2018-PoC";"ERC Proof of Concept Grant"
"669562";"ERC-ADG-2014";"ERC Advanced Grant"
"856455";"ERC-2019-SyG";"ERC Synergy Grant"
"770769";"ERC-2017-COG";"ERC Consolidator Grant"
"101002859";"ERC-2020-COG";"ERC CONSOLIDATOR GRANTS"
"951329";"ERC-2020-SyG";"ERC Synergy Grant"
"819814";"ERC-2018-COG";"ERC Consolidator Grant"
"101021560";"ERC-2020-ADG";"ERC ADVANCED GRANT"
"805426";"ERC-2018-STG";"ERC Starting Grant"
